# k    mu    diag_Cov_Pwnw
0.0261600 0.1741000 224039.8800000
0.0261600 0.3482000 159069.6500000
0.0261600 0.6963000 178392.5600000
0.0261600 0.8704000 626306.4100000
0.0265500 0.5145000 103728.2100000
0.0265500 0.6860000 499247.1200000
0.0265500 0.8575000 953740.0000000
0.0269400 0.5071000 135358.7200000
0.0269400 0.8452000 215557.3700000
0.0273200 0.3333000 242246.3300000
0.0273200 0.6667000 185963.0800000
0.0273200 1.0000000 3147718.3000000
0.0275400 0.1654000 39625.5770000
0.0277000 0.9864000 871630.1900000
0.0277500 0.0000000 51583.2180000
0.0280700 0.3244000 82396.8590000
0.0280700 0.4867000 100307.5100000
0.0280700 0.8111000 326781.9900000
0.0280700 0.9733000 738054.7400000
0.0288000 0.9487000 365951.5200000
0.0290300 0.3136000 88704.0250000
0.0291500 0.4685000 181207.4600000
0.0291500 0.6247000 147920.4500000
0.0291500 0.7809000 439683.7400000
0.0291500 0.9370000 255515.3200000
0.0293300 0.1552000 39133.0770000
0.0295100 0.6172000 202993.2700000
0.0295100 0.7715000 296199.9800000
0.0298600 0.4575000 130977.3900000
0.0298600 0.7625000 313593.8500000
0.0302000 0.3015000 143335.6700000
0.0302000 0.9045000 388498.2700000
0.0305400 0.2981000 162379.0700000
0.0305400 0.5963000 163755.2200000
0.0305400 0.7454000 237948.7200000
0.0305400 0.8944000 432426.6700000
0.0307700 0.4440000 69893.3330000
0.0308800 0.8847000 341467.6300000
0.0315400 0.5774000 268865.5100000
0.0318700 0.2857000 92792.3360000
0.0318700 0.8571000 163348.1400000
0.0318700 1.0000000 1659819.2000000
0.0319200 0.1427000 28932.2970000
0.0320300 0.4264000 44942.3080000
0.0321900 0.5657000 172612.8000000
0.0323200 0.7043000 75286.6030000
0.0323500 0.9851000 252776.8600000
0.0325700 0.0000000 34953.8360000
0.0328300 0.5547000 312228.9000000
0.0328300 0.8321000 273485.2400000
0.0331500 0.5494000 183791.3400000
0.0331500 0.8242000 195588.6800000
0.0331500 0.9615000 267646.4600000
0.0333800 0.2728000 66372.9690000
0.0334600 0.4082000 137721.3800000
0.0334600 0.6804000 146167.9500000
0.0334600 0.8165000 491807.6300000
0.0334600 0.9526000 233105.0600000
0.0338600 0.1345000 36278.9100000
0.0340700 0.5345000 100985.5100000
0.0340700 0.8018000 247280.4500000
0.0342200 0.2661000 42129.0870000
0.0343700 0.5298000 104810.1900000
0.0343700 0.6623000 324856.5800000
0.0343700 0.9272000 382818.9100000
0.0348700 0.9139000 92461.4740000
0.0349000 0.3914000 52162.5630000
0.0349700 0.6509000 128247.9600000
0.0355600 0.5121000 88316.0100000
0.0355600 0.6402000 284158.0500000
0.0356800 0.7657000 90760.9620000
0.0357100 0.3826000 53310.1920000
0.0358500 0.2540000 72676.6050000
0.0358500 0.6350000 143094.2000000
0.0358500 0.8890000 213967.9900000
0.0364200 1.0000000 4199112.5000000
0.0367100 0.6202000 127226.6700000
0.0367100 0.7442000 190102.5600000
