# k    mu    diag_Cov_Pwnw
0.0539700 0.8437000 16223.8740000
0.0540600 0.5053000 25312.4490000
0.0540600 0.9264000 25075.7720000
0.0541800 0.3362000 20448.4610000
0.0542600 0.4196000 43854.5220000
0.0542600 0.7553000 39706.1740000
0.0547000 0.6659000 29286.2150000
0.0548300 0.2491000 51440.3070000
0.0548300 0.4983000 44654.6660000
0.0548300 0.7474000 67760.6030000
0.0548300 0.8305000 52358.2510000
0.0550100 0.3310000 26148.8970000
0.0550100 0.6621000 33113.9770000
0.0550100 0.7448000 28282.2050000
0.0551400 0.4129000 35437.3740000
0.0552000 0.9073000 49019.6820000
0.0554400 0.5749000 11275.1280000
0.0555100 0.0820300 12767.6920000
0.0555800 0.4915000 46538.2030000
0.0555800 0.6554000 24085.0640000
0.0555800 0.7373000 45603.3430000
0.0557600 0.8981000 31638.0490000
0.0558300 0.1631000 11516.3690000
0.0558600 0.8152000 11014.1820000
0.0561900 0.2431000 11352.7050000
0.0562300 0.3239000 27514.9000000
0.0562300 0.4049000 10340.9990000
0.0562300 0.4859000 12192.0490000
0.0562300 0.9717000 48947.8920000
0.0563200 0.8085000 26719.9080000
0.0564100 0.6457000 15721.7720000
0.0565000 0.5641000 30977.9260000
0.0565000 0.9670000 37577.1380000
0.0565400 0.7248000 16855.4350000
0.0565600 0.8855000 27024.3170000
0.0566100 0.9852000 14249.9770000
0.0569600 0.9112000 10402.6560000
0.0570500 0.9577000 18848.2660000
0.0571700 0.8760000 18375.1770000
0.0572300 0.5569000 37972.2150000
0.0572300 0.7956000 41089.0760000
0.0575100 0.4750000 17763.1990000
0.0576400 0.0000000 8075.8147000
0.0577700 0.6305000 35020.7970000
0.0577700 0.9457000 17463.3230000
0.0578600 0.3934000 18221.7690000
0.0578600 0.8656000 17902.3170000
0.0579500 0.7071000 14951.0670000
0.0579500 0.7857000 18206.8710000
0.0579700 0.9948000 20651.0350000
0.0580100 0.3139000 6815.6404000
0.0580200 0.2355000 7965.0641000
0.0583100 0.6247000 11692.6920000
0.0583100 0.9370000 19967.7850000
0.0583700 0.5461000 10846.7020000
0.0585500 0.1556000 10408.6050000
0.0585900 0.4663000 13757.9170000
0.0586600 0.7762000 12156.5100000
0.0586600 0.8538000 23928.3170000
0.0586700 0.0776200 6758.1019000
0.0589000 0.6958000 10134.0200000
0.0591900 0.6154000 17886.4300000
0.0591900 1.0000000 58799.2010000
0.0592600 0.9220000 10666.0490000
