# k    mu    diag_Cov_Pwnw
0.0334600 0.9526000 763100.2600000
0.0338600 0.1345000 114048.6500000
0.0340700 0.5345000 332994.2900000
0.0340700 0.8018000 751419.9400000
0.0342200 0.2661000 110430.6700000
0.0343700 0.5298000 287207.1200000
0.0343700 0.6623000 859893.4100000
0.0343700 0.9272000 1604655.1000000
0.0348700 0.9139000 292938.2100000
0.0349000 0.3914000 100474.6200000
0.0349700 0.6509000 351737.4400000
0.0355600 0.5121000 343995.8300000
0.0355600 0.6402000 647324.5500000
0.0356800 0.7657000 169794.6200000
0.0357100 0.3826000 117643.0100000
0.0358500 0.2540000 386679.7400000
0.0358500 0.6350000 241038.9500000
0.0358500 0.8890000 323362.8500000
0.0364200 1.0000000 4136365.4000000
0.0367100 0.6202000 388566.9200000
0.0367100 0.7442000 496616.3500000
0.0367100 0.9923000 1118581.2000000
0.0368900 0.1235000 58992.5640000
0.0369000 0.8638000 544260.9600000
0.0369200 0.4933000 220568.2100000
0.0369900 0.6155000 302763.7300000
0.0369900 0.9847000 1055493.3000000
0.0372700 0.3665000 339425.1300000
0.0372700 0.8552000 687696.9900000
0.0374500 0.0000000 14312.1130000
0.0374600 0.2431000 91785.6410000
0.0375500 0.7276000 833861.6400000
0.0375500 0.9701000 2068604.3000000
0.0376800 0.4833000 225517.9500000
0.0378200 0.8427000 708686.1500000
0.0378200 0.9631000 600430.7700000
0.0380900 0.5976000 258764.3900000
0.0380900 0.7171000 370801.9900000
0.0383600 0.3561000 217259.0400000
0.0386300 0.2357000 200434.9000000
0.0386300 0.9428000 1413014.8000000
0.0388100 0.7039000 293469.4100000
0.0389000 0.9363000 1099615.5000000
0.0391700 0.4650000 291778.2400000
0.0391700 0.5812000 756212.1800000
0.0391700 0.8137000 360967.8900000
0.0391700 0.9300000 691666.4100000
0.0392200 0.1161000 102807.1200000
0.0394300 0.3465000 101946.4100000
0.0394300 0.5774000 224231.6700000
0.0394300 0.8083000 694983.5900000
0.0398200 0.6860000 138604.1000000
0.0398700 0.2284000 147036.9200000
0.0399500 0.4558000 329125.5700000
0.0399500 0.5698000 391877.5300000
0.0399500 0.9117000 356237.8800000
0.0402100 0.2265000 319710.4100000
0.0402100 0.5661000 411642.5600000
0.0402100 0.7926000 523987.0400000
0.0407200 0.8944000 894241.3000000
0.0409300 0.4450000 144662.9700000
0.0409800 0.6667000 383761.2000000
0.0409800 0.7778000 1442357.1000000
0.0409800 1.0000000 3637835.6000000
0.0410600 0.1109000 120678.2300000
0.0410600 0.8871000 288452.3100000
0.0411500 0.3320000 191538.0000000
